from,to,brand,bucket
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Orona/Digital Reference Card.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Orona/Digital Reference Card.pdf,Orona,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Orona/EM3000 Installation Manual V4.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Orona/EM3000 Installation Manual V4.pdf,Orona,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Electrical Installation.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Electrical Installation.pdf,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/GFU Standard Vacon NXL Commissioning Guide.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/GFU Standard Vacon NXL Commissioning Guide.pdf,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/GFU Standard Watt V4000 Vacon CXL.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/GFU Standard Watt V4000 Vacon CXL.pdf,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/LED Indicators.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/LED Indicators.pdf,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/RJ45 and RS422 Communication Cable.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/RJ45 and RS422 Communication Cable.pdf,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/SKIIP Pack for VF120BR Technical Description.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/SKIIP Pack for VF120BR Technical Description.pdf,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 20p19.gif,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 20p19.gif,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 332206.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 332206.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 333634.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 333634.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 342708.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 342708.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 345981.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 345981.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 34y4 - 1.gif,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 34y4 - 1.gif,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 34y4 - 2.gif,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 34y4 - 2.gif,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 354707.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 354707.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 545673.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 545673.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 57s4.gif,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 57s4.gif,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 57s6.gif,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 57s6.gif,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 583572.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 583572.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 583578.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 583578.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 583589.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 583589.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - 591487.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - 591487.jpg,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler - piolg t.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler - piolg t.pdf,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler Motor Connection Voltages 15p5.gif,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler Motor Connection Voltages 15p5.gif,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/Schindler/Schindler Smart MRL Electrical Parts Installation Manual.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/Schindler/Schindler Smart MRL Electrical Parts Installation Manual.pdf,Schindler,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/TKE/AY ZSE shaft plate new cable and plug connection.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/TKE/AY ZSE shaft plate new cable and plug connection.pdf,TKE,review
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/review/TKE/DMG D13 and D43 Displays for Manobra K.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/engineering_residual_v1/TKE/DMG D13 and D43 Displays for Manobra K.pdf,TKE,review
